observation,Author,ScientificName,lon,lat,alt,site,country,continent,biome,ymean_temp,ymean_prec,ymean_pet,soil_type,growth_form,photo_pathway,leaf_phenology,sun_shade,fire_toler,seed_disperse,seed_pollen,dbh,height,bark_thick,wood_dens,bark_dens,huber,SLA,leaf_density,leaf_turnover,leaf_carbon,leaf_nitrogen,leaf_phosphorus,leaf_chloro,leaf_carot,leaf_c2n,leaf_n2p,leaf_dmc,leaf_thick,leaf_pio_sat,leaf_psi_tlp,leaf_elas_mod,leaf_hydcond,leaf_water_sat,wood_hydcond,xylem_p50,a_gsw,a_amax,a_vcmax,a_jmax,a_rdmax,m_amax,root_shoot,bseeds,seed_length,seed_germeff,reference,doi,Notes
1,Alessandro Araujo,Couratari multiflora,-60.1,-2.75,125,BR-Z2D,Brazil AM,South America,06 - Tropical Moist Forest,27,2254,1168,06 - Sandy Clay Loam,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://doi.org/10.3334/ORNLDAAC/1097,Corrected coordinates
2,Augusto Queiroz,Ocotea glomerata,-36.12,-8.37,875,BR-CAU,Brazil PE,South America,05 - Tropical Dry Forest,21.4,548,1264,06 - Sandy Clay Loam,Tree,,,,,,,,,,0.450,,,9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,http://tede.bc.uepb.edu.br/jspui/handle/tede/2296,Added traits and distinguished samples according to altitude. Reverted some species names to the original because the original names are accepted and found in the area.
3,Bianca Zorger,Senegalia piauhiensis,-37.18,-8.39,856,BR-CNE,Brazil PE,South America,04 - Tropical Savannah,21.9,668,1354,06 - Sandy Clay Loam,Tree,,,03 - Mostly Sun-Exposed,,,,,,,0.901,,,4.30,,,,,,,,,,424.30,0.15,,,,,,,,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://doi.org/10.1111/btp.12721,Added traits and included every individual sample.
4,Bruno Pinho,Sacoglottis mattogrossensis,-35.1,-7.01,194,BR-SCT,Brazil PB,South America,05 - Tropical Dry Forest,24.7,1309,1419,06 - Sandy Clay Loam,,,,03 - Mostly Sun-Exposed,,,,,,,,,,8.66,,,,,,,,,,475.20,0.27,,,,,,,,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://doi.org/10.1111/1365-2745.12843,EM data base had additional species that did not exist in the original data base. Values did not match the original data base either; replaced data with the original and added traits
5,Eduardo Mariano,Bauhinia cheilantha,-38.32,-7.98,421,BR-SET,Brazil PE,South America,04 - Tropical Savannah,23.6,711,1452,06 - Sandy Clay Loam,,,,,,,,,,,,,,17.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://doi.org/10.1111/geb.13381,Previously unpublished data
6,Guang-You Hao,Myrsine guianensis,-47.88,-15.93,1089,BR-IBG,Brazil DF,South America,04 - Tropical Savannah,20.7,1690,1308,11 - Clay,Tree,,,03 - Mostly Sun-Exposed,,,,,,,0.52,,,5.15,,,,,,,,,,389.11,,,-1.76,,,,,-2.12,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://doi.org/10.1007/s00442-007-0918-5,Added traits
7,Jim Ehleringer,Copaifera duckei,-54.96,-2.86,197,BR-S67,Brazil PA,South America,06 - Tropical Moist Forest,25.1,2021,1223,11 - Clay,Tree,,,03 - Mostly Sun-Exposed,,,,,,,,,,8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://doi.org/10.3334/ORNLDAAC/1009,Data reprocessed to differentiate sites and treatments
8,Marco Batalha,Casearia sylvestris,-52.91,-18.14,825,BR-PNE,Brazil GO,South America,04 - Tropical Savannah,22.4,1646,1276,06 - Sandy Clay Loam,,,,,,,,,,,0.482,,,8.67,,,,20.4,1.12,,,,18.20,,,,,,,,,,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://doi.org/10.1016/j.flora.2011.07.004,Added traits
9,Talita Ferreira,Endlicheria paniculata,-48.4,-19.17,806,BR-EEP,Brazil MG,South America,04 - Tropical Savannah,21.9,1453,1321,06 - Sandy Clay Loam,,,,,,,,,,,,,,13.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://repositorio.ufu.br/handle/123456789/13388,
10,Yong-Jiang Zhang,Tachigali vulgaris,-47.88,-15.93,1089,BR-IBG,Brazil DF,South America,04 - Tropical Savannah,20.7,1690,1308,11 - Clay,Tree,,Evergreen,03 - Mostly Sun-Exposed,,,,,,,0.671,,3.07,4.98,,,,,,,,,,,,,,,46.36,,2.58,-3.22,,,,,,,,,,,Mariano E; Gomes TF; Lins SRM et al. 2021. LT-Brazil: A database of leaf traits across biomes and vegetation types in Brazil. Global Ecol. Biogeogr. 30: 2136-2146. doi:10.1111/geb.13381,https://doi.org/10.1111/j.1365-3040.2009.02012.x,Added traits; distinguished values by height class. Traits were digitised. Photosynthesis traits were not digitised because they were shown as scatter plots whilst most traits were aggregated by height class.
